Stunde im Jahr [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]
4412	30.0477	0	0	32.1493	170.754	0	34.623	30.8189	33.8368	30.8189	30.8189	30.8189	30.8189
4413	30.0799	0	0	32.189	168.402	0	34.6288	30.8768	33.8532	30.8768	30.8768	30.8768	30.8768
4414	30.112	0	0	32.2283	166.073	0	34.6345	30.9342	33.8694	30.9342	30.9342	30.9342	30.9342
4415	30.1443	0	0	32.2673	163.767	0	34.6401	30.9911	33.8855	30.9911	30.9911	30.9911	30.9911
4416	30.1765	0	0	32.3058	161.484	0	34.6456	31.0474	33.9014	31.0474	31.0474	31.0474	31.0474
4417	30.2087	0	0	32.344	159.223	0	34.6512	31.1031	33.9172	31.1031	31.1031	31.1031	31.1031
4418	30.2409	0	0	32.3818	156.986	0	34.6566	31.1583	33.9328	31.1583	31.1583	31.1583	31.1583
4419	30.2729	0	0	32.4192	154.771	0	34.662	31.2129	33.9482	31.2129	31.2129	31.2129	31.2129
4420	30.3049	0	0	32.4562	152.578	0	34.6673	31.2669	33.9635	31.2669	31.2669	31.2669	31.2669
4421	30.3368	0	0	32.4929	150.408	0	34.6726	31.3204	33.9786	31.3204	31.3204	31.3204	31.3204
4422	30.3685	0	0	32.5292	148.259	0	34.6779	31.3734	33.9936	31.3734	31.3734	31.3734	31.3734
4423	30.4002	0	0	32.5651	146.132	0	34.683	31.4258	34.0084	31.4258	31.4258	31.4258	31.4258
4424	30.4318	0	0	32.6006	144.027	0	34.6882	31.4777	34.0231	31.4777	31.4777	31.4777	31.4777
4425	30.4632	0	0	32.6358	141.942	0	34.6932	31.5291	34.0376	31.5291	31.5291	31.5291	31.5291
4426	30.4946	0	0	32.6707	139.879	0	34.6983	31.58	34.052	31.58	31.58	31.58	31.58
4427	30.5259	0	0	32.7052	137.836	0	34.7032	31.6303	34.0663	31.6303	31.6303	31.6303	31.6303
4428	30.557	0	0	32.7393	135.814	0	34.7082	31.6802	34.0804	31.6802	31.6802	31.6802	31.6802
4429	30.5881	0	0	32.7731	133.813	0	34.7131	31.7295	34.0943	31.7295	31.7295	31.7295	31.7295
4430	30.619	0	0	32.8066	131.831	0	34.7179	31.7783	34.1081	31.7783	31.7783	31.7783	31.7783
4431	30.6499	0	0	32.8397	129.869	0	34.7227	31.8267	34.1218	31.8267	31.8267	31.8267	31.8267
4432	30.6806	0	0	32.8725	127.928	0	34.7274	31.8746	34.1354	31.8746	31.8746	31.8746	31.8746
4433	30.7113	0	0	32.9049	126.005	0	34.7321	31.9219	34.1488	31.9219	31.9219	31.9219	31.9219
4434	30.7418	0	0	32.9371	124.102	0	34.7367	31.9689	34.162	31.9689	31.9689	31.9689	31.9689
4435	30.7723	0	0	32.9689	122.219	0	34.7413	32.0153	34.1752	32.0153	32.0153	32.0153	32.0153
4436	30.8026	0	0	33.0004	120.354	0	34.7458	32.0613	34.1882	32.0613	32.0613	32.0613	32.0613
4437	30.8329	0	0	33.0315	118.508	0	34.7503	32.1068	34.201	32.1068	32.1068	32.1068	32.1068
4438	30.863	0	0	33.0624	116.681	0	34.7548	32.1518	34.2138	32.1518	32.1518	32.1518	32.1518
4439	30.893	0	0	33.0929	114.872	0	34.7592	32.1964	34.2264	32.1964	32.1964	32.1964	32.1964
4440	30.923	0	0	33.1232	113.081	0	34.7636	32.2405	34.2389	32.2405	32.2405	32.2405	32.2405
4441	30.9529	0	0	33.1531	111.308	0	34.7679	32.2842	34.2512	32.2842	32.2842	32.2842	32.2842
4442	30.9826	0	0	33.1827	109.553	0	34.7722	32.3275	34.2634	32.3275	32.3275	32.3275	32.3275
4443	31.0037	0	4.12154	33.2121	107.795	0	34.7764	32.3708	34.2757	32.3708	32.3708	32.3708	32.3708
4444	31.0038	0	6.21983	33.241	105.671	0	34.7806	32.4232	34.2905	32.4232	32.4232	32.4232	32.4232
4445	31.0056	0	10.0093	33.2697	103.977	0	34.7847	32.465	34.3023	32.465	32.465	32.465	32.465
4446	31.007	0	13.8849	33.2981	102.3	0	34.7888	32.5063	34.314	32.5063	32.5063	32.5063	32.5063
4447	31.0081	0	17.6836	33.3262	100.641	0	34.7928	32.5472	34.3256	32.5472	32.5472	32.5472	32.5472
4448	31.0089	0	21.4032	33.354	98.9972	0	34.7969	32.5877	34.337	32.5877	32.5877	32.5877	32.5877
4449	31.0094	0	24.9408	33.3815	97.3705	0	34.8008	32.6278	34.3484	32.6278	32.6278	32.6278	32.6278
4450	31.01	0	29.2365	33.4088	95.7601	0	34.8048	32.6675	34.3596	32.6675	32.6675	32.6675	32.6675
4451	31.01	0	32.1897	33.4358	94.1659	0	34.8087	32.7068	34.3707	32.7068	32.7068	32.7068	32.7068
4452	31.01	0	35.7228	33.4625	92.5876	0	34.8125	32.7457	34.3817	32.7457	32.7457	32.7457	32.7457
4453	31.01	0	39.0873	33.489	91.0253	0	34.8163	32.7842	34.3926	32.7842	32.7842	32.7842	32.7842
