Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
4870	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4871	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4872	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4873	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4874	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4875	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4876	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4877	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4878	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4879	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4880	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4881	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4882	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4883	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4884	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4885	40.82	0	0	38.239	0	0	40.424	0	0	35.586	0	0
4886	40.82	0	0	38.239	0	0	41.0775	0	0	35.723	0	0
4887	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4888	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4889	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4890	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4891	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4892	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4893	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4894	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4895	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4896	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4897	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4898	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4899	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4900	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4901	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4902	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4903	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4904	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4905	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4906	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4907	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4908	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4909	40.82	0	0	38.239	0	0	40.424	0	0	35.586	0	0
4910	40.82	0	0	38.239	0	0	41.0775	0	0	35.723	0	0
4911	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4912	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4913	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4914	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4915	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4916	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4917	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
