Zeit [h]	Außentemperatur [C]	Variante 1 Raum A [C]	Variante 2 Raum A [C]	Variante 3 Raum A [C]	Variante 3 Raum B [C]	Variante 4 Raum A [C]	Variante 4 Raum B [C]
342	30	28.1543	23.5559	0	0	0	0
343	30	28.1699	23.3848	0	0	0	0
344	30	28.1854	23.2218	0	0	0	0
345	30	28.2008	23.1358	0	0	0	0
346	30	28.216	23.1837	0	0	0	0
347	30	28.2311	23.2559	0	0	0	0
348	30	28.246	23.4267	0	0	0	0
349	30	28.2609	23.6608	0	0	0	0
350	30	28.2756	23.9234	0	0	0	0
351	30	28.2902	24.1942	0	0	0	0
352	30	28.3046	24.4627	0	0	0	0
353	30	28.319	24.7239	0	0	0	0
354	30	28.3332	24.9754	0	0	0	0
355	30	28.3473	25.1468	0	0	0	0
356	30	28.3613	25.181	0	0	0	0
357	30	28.3752	25.1872	0	0	0	0
358	30	28.3889	25.0913	0	0	0	0
359	30	28.4025	24.9286	0	0	0	0
360	30	28.416	24.7342	0	0	0	0
361	30	28.4294	24.5282	0	0	0	0
362	30	28.4427	24.3213	0	0	0	0
363	30	28.4559	24.1188	0	0	0	0
364	30	28.469	23.9233	0	0	0	0
365	30	28.4819	23.7356	0	0	0	0
366	30	28.4948	23.5561	0	0	0	0
367	30	28.5075	23.385	0	0	0	0
368	30	28.5201	23.2219	0	0	0	0
369	30	28.5327	23.1359	0	0	0	0
370	30	28.5451	23.1837	0	0	0	0
371	30	28.5574	23.256	0	0	0	0
372	30	28.5696	23.4268	0	0	0	0
373	30	28.5817	23.6609	0	0	0	0
374	30	28.5937	23.9234	0	0	0	0
375	30	28.6056	24.194	0	0	0	0
376	30	28.6174	24.4625	0	0	0	0
377	30	28.6291	24.7237	0	0	0	0
378	30	28.6407	24.9752	0	0	0	0
379	30	28.6522	25.1467	0	0	0	0
380	30	28.6636	25.181	0	0	0	0
381	30	28.6749	25.1872	0	0	0	0
382	30	28.6861	25.0913	0	0	0	0
383	30	28.6972	24.9286	0	0	0	0
384	30	28.7082	24.7341	0	0	0	0
385	30	28.7192	24.5281	0	0	0	0
386	30	28.73	24.3213	0	0	0	0
387	30	28.7407	24.1188	0	0	0	0
388	30	28.7514	23.9232	0	0	0	0
389	30	28.762	23.7355	0	0	0	0
390	30	28.7724	23.5561	0	0	0	0
391	30	28.7828	23.385	0	0	0	0
392	30	28.7931	23.2219	0	0	0	0
393	30	28.8033	23.1359	0	0	0	0
394	30	28.8135	23.1837	0	0	0	0
395	30	28.8235	23.256	0	0	0	0
396	30	28.8334	23.4267	0	0	0	0
397	30	28.8433	23.6608	0	0	0	0
398	30	28.8531	23.9233	0	0	0	0
399	30	28.8628	24.194	0	0	0	0
400	30	28.8724	24.4624	0	0	0	0
401	30	28.882	24.7236	0	0	0	0
402	30	28.8914	24.9751	0	0	0	0
