Zeit [h]	Variante 7.1 Raumlufttemperatur [C]	Variante 7.1 Trans.Strahlung Fenster [W/m2]	Variante 7.1 Wärmeleitung Fenster [W/m2]	Variante 7.2 Raumlufttemperatur [C]	Variante 7.2 Trans.Strahlung Fenster [W/m2]	Variante 7.2 Wärmeleitung Fenster [W/m2]	Variante 7.3 Raumlufttemperatur [C]	Variante 7.3 Trans.Strahlung Fenster [W/m2]	Variante 7.3 Wärmeleitung Fenster [W/m2]	Variante 7.4 Raumlufttemperatur [C]	Variante 7.4 Trans.Strahlung Fenster [W/m2]	Variante 7.4 Wärmeleitung Fenster [W/m2]	Variante 7.5 Raumlufttemperatur [C]	Variante 7.5 Trans.Strahlung Fenster [W/m2]	Variante 7.5 Wärmeleitung Fenster [W/m2]	Variante 7.6 Raumlufttemperatur [C]	Variante 7.6 Trans.Strahlung Fenster [W/m2]	Variante 7.6 Wärmeleitung Fenster [W/m2]
144	0	0	0	0	0	0	19.7	0	2.207010582	21.195	0	-1.373095238	21.3	0	-0.941329365	20.52	0	-5.262301587
145	0	0	0	0	0	0	19.699	0	2.206150794	21.19	0	-1.366488095	21.295	0	-0.93734127	20.513	0	-5.250992063
146	0	0	0	0	0	0	19.698	0	2.205291005	21.185	0	-1.359960317	21.29	0	-0.933373016	20.506	0	-5.239880952
147	0	0	0	0	0	0	19.697	0	2.204464286	21.18	0	-1.353452381	21.285	0	-0.929444444	20.5	0	-5.228769841
148	0	0	0	0	0	0	19.696	0	2.203637566	21.175	0	-1.346984127	21.279	0	-0.925535714	20.493	0	-5.21765873
149	0	0	0	0	0	0	19.695	0	2.202777778	21.17	0	-1.340555556	21.274	0	-0.921646825	20.486	0	-5.206547619
150	0	0	0	0	0	0	19.694	0	2.201951058	21.165	0	-1.334166667	21.269	0	-0.917757937	20.48	0	-5.195634921
151	0	0	0	0	0	0	19.693	0	2.201124339	21.16	0	-1.32781746	21.264	0	-0.91390873	20.473	0	-5.184722222
152	0	0	0	0	0	0	19.692	0	2.200297619	21.155	0	-1.321488095	21.259	0	-0.910059524	20.466	0	-5.173809524
153	0	0	0	0	0	0	19.691	0	2.199470899	21.15	0	-1.315198413	21.254	0	-0.906230159	20.46	0	-5.163095238
154	0	0	0	0	0	0	19.69	0	2.19864418	21.145	0	-1.308948413	21.249	0	-0.902420635	20.453	0	-5.152380952
155	0	0	0	0	0	0	19.689	0	2.19781746	21.14	0	-1.302718254	21.245	0	-0.898630952	20.447	0	-5.141666667
156	0	0	0	0	0	0	19.688	0	2.196990741	21.136	0	-1.296527778	21.24	0	-0.894861111	20.44	0	-5.130952381
157	0	0	0	0	0	0	19.687	0	2.19619709	21.131	0	-1.290376984	21.235	0	-0.89109127	20.434	0	-5.120436508
158	0	0	0	0	0	0	19.686	0	2.195403439	21.126	0	-1.284265873	21.23	0	-0.887361111	20.428	0	-5.109722222
159	0	0	0	0	0	0	19.685	0	2.19457672	21.121	0	-1.278174603	21.225	0	-0.883630952	20.421	0	-5.099404762
160	0	0	0	0	0	0	19.684	0	2.193783069	21.117	0	-1.272103175	21.22	0	-0.879940476	20.415	0	-5.088888889
161	0	0	0	0	0	0	19.683	0	2.192989418	21.112	0	-1.26609127	21.215	0	-0.87625	20.409	0	-5.078571429
162	0	0	0	0	0	0	19.682	0	2.192195767	21.107	0	-1.260099206	21.211	0	-0.872579365	20.402	0	-5.068253968
163	0	0	0	0	0	0	19.681	0	2.191402116	21.103	0	-1.254126984	21.206	0	-0.86890873	20.396	0	-5.057936508
164	0	0	0	0	0	0	19.68	0	2.190608466	21.098	0	-1.248214286	21.201	0	-0.865277778	20.39	0	-5.047619048
165	0	0	0	0	0	0	19.679	0	2.189814815	21.093	0	-1.242301587	21.196	0	-0.861646825	20.384	0	-5.0375
166	0	0	0	0	0	0	19.678	0	2.189021164	21.089	0	-1.236448413	21.192	0	-0.858055556	20.377	0	-5.027380952
167	0	0	0	0	0	0	19.678	0	2.188260582	21.084	0	-1.230615079	21.187	0	-0.854464286	20.371	0	-5.017261905
168	0	0	0	0	0	0	19.677	0	2.187466931	21.08	0	-1.224801587	21.182	0	-0.850892857	20.365	0	-5.00734127
169	0	0	0	0	0	0	19.676	0	2.186706349	21.075	0	-1.219087302	21.178	0	-0.847361111	20.359	0	-4.997420635
170	0	0	0	0	0	0	19.675	0	2.185912698	21.071	0	-1.213353175	21.173	0	-0.843829365	20.353	0	-4.9875
171	0	0	0	0	0	0	19.674	0	2.185152116	21.066	0	-1.207638889	21.168	0	-0.840297619	20.347	0	-4.977579365
172	0	0	0	0	0	0	19.673	0	2.184358466	21.062	0	-1.201964286	21.164	0	-0.836785714	20.341	0	-4.967857143
173	0	0	0	0	0	0	19.672	0	2.183630952	21.057	0	-1.196309524	21.159	0	-0.833293651	20.335	0	-4.957936508
