Zeit [h]	Variante 11.1 Raumlufttemperatur [C]	Variante 11.1 Strahlungstemperatur [C]	Variante 11.1 Trans.Strahlung.Fenster [W]	Variante 11.2 Raumlufttemperatur [C]	Variante 11.2 Strahlungstemperatur [C]	Variante 11.2 Heizleistung [W]	Variante 11.2 Trans.Strahlung.Fenster [W]	Variante 11.3 Raumlufttemperatur [C]	Variante 11.3 Strahlungstemperatur [C]	Variante 11.3 Heizleistung [W]	Variante 11.3 Trans.Strahlung.Fenster [W]	Variante 11.4 Raumlufttemperatur [C]	Variante 11.4 Strahlungstemperatur [C]	Variante 11.4 Heizleistung [W]	Variante 11.4 Trans.Strahlung.Fenster [W]	Variante 11.5 Raumlufttemperatur [C]	Variante 11.5 Strahlungstemperatur [C]	Variante 11.5 Heizleistung [W]	Variante 11.5 Trans.Strahlung.Fenster [W]	Variante 11.6 Raumlufttemperatur [C]	Variante 11.6 Strahlungstemperatur [C]	Variante 11.6 Heizleistung [W]	Variante 11.6 Trans.Strahlung.Fenster [W]
43	18.169	18.1545	-7.15877e-07	20.9807	19.7321	193.505	-7.15877e-07	20.973	19.2327	269.733	-7.15877e-07	20.973	19.2327	269.733	-7.15877e-07	20.9609	19.2263	390.873	-7.15877e-07	20.9601	19.2263	399.326	-7.15877e-07
44	17.9762	17.9654	1.75875e-08	20.9786	19.5982	213.946	1.75875e-08	20.9715	19.1315	285.18	1.75854e-08	20.9715	19.1315	285.18	1.75854e-08	20.9589	19.1249	410.815	1.75854e-08	20.9579	19.1249	421.509	1.75854e-08
45	17.8314	17.8231	-1.26246e-10	20.9772	19.506	228.021	-1.26246e-10	20.9704	19.062	295.803	-1.23141e-10	20.9704	19.062	295.803	-1.23141e-10	20.9577	19.0552	423.454	-1.23141e-10	20.9564	19.0552	435.857	-1.23141e-10
46	17.7153	17.7083	0	20.9762	19.4374	238.49	0	20.9696	19.0102	303.7	-2.06961e-12	20.9696	19.0102	303.7	-2.06961e-12	20.9568	19.0034	431.877	-2.06961e-12	20.9554	19.0034	445.74	-2.06961e-12
47	17.6061	17.5987	0	20.9752	19.3724	248.415	0	20.9688	18.9587	311.561	0	20.9688	18.9587	311.561	0	20.9559	18.9518	440.72	0	20.9544	18.9518	455.906	0
48	17.489	17.4812	0	20.9741	19.3004	259.406	0	20.9679	18.8983	320.79	0	20.9679	18.8983	320.79	0	20.9548	18.8912	452.436	0	20.9531	18.8912	468.844	0
49	17.3757	17.3688	0	20.9731	19.234	269.548	0	20.9671	18.8422	329.351	0	20.9671	18.8422	329.351	0	20.9537	18.835	463.041	0	20.952	18.835	480.6	0
50	17.2658	17.2582	0	20.9721	19.1696	279.376	0	20.9662	18.7874	337.714	0	20.9662	18.7874	337.714	0	20.9527	18.78	473.374	0	20.9508	18.78	492.011	0
51	17.1552	17.1486	0	20.9711	19.1073	288.887	0	20.9654	18.7342	345.837	0	20.9654	18.7342	345.837	0	20.9517	18.7267	483.299	0	20.9497	18.7267	502.962	0
52	17.0456	17.0378	0	20.9702	19.0444	298.49	0	20.9646	18.68	354.109	0	20.9646	18.68	354.109	0	20.9506	18.6724	493.524	0	20.9486	18.6724	514.161	0
