Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Denver Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	180.96	0.4	0.29	0.53	0.53	1.95	296.0	65.0	0.29	0.32	99.98	0.73	0.7	0.00363	59.42	True	99.49	Gold
01-Sonnenstand	Barrow Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	13.58	3.09	1.8	0.32	0.17	0.71	38.4	-17.9	2.4	0.73	99.86	0.41	3.02	0.04141	11.06	True	98.04	Gold
01-Sonnenstand	Barrow Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	180.49	3.8	0.2	0.25	46.85	239.58	359.9	0.1	0.14	1.91	99.26	6.84	6.73	0.1588	79.78	True	96.83	Gold
01-Sonnenstand	Melbourne Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	34.02	1.13	1.42	0.04	0.15	0.78	76.3	-1.0	0.12	0.5	99.96	0.38	1.15	0.06282	20.06	True	99.0	Gold
01-Sonnenstand	Melbourne Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	179.42	8.46	0.54	-0.47	231.65	239.34	359.9	0.1	-0.26	4.24	98.42	15.22	6.63	0.32636	121.48	True	95.69	Gold
01-Sonnenstand	Potsdam Altitude	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	22.35	2.55	1.69	0.35	0.31	2.09	56.93	0.0	1.59	0.98	99.85	0.56	2.8	0.1308	14.55	False	98.23	Gold
01-Sonnenstand	Potsdam Azimuth	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	173.25	21.63	60.47	-6.82	1516.34	302.65	299.54	0.0	-3.79	15.87	53.92	38.94	42.4	0.98306	64.76	False	71.98	Failed
01-Sonnenstand	Shanghai Altitude	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	32.86	1.78	1.37	0.39	0.33	2.18	78.21	0.0	1.19	0.74	99.91	0.58	2.02	0.1074	19.03	False	98.78	Gold
01-Sonnenstand	Shanghai Azimuth	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	175.38	18.03	57.16	-4.62	1052.98	292.59	291.37	0.0	-2.57	14.4	72.41	32.45	28.59	0.81804	66.98	False	78.59	Failed
01-Sonnenstand	Kaxgar Altitude	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	28.91	1.95	1.16	0.33	0.31	2.28	69.88	0.0	1.14	0.79	99.89	0.56	2.22	0.11506	17.21	False	98.66	Gold
01-Sonnenstand	Kaxgar Azimuth	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	174.95	18.71	57.95	-4.83	1131.52	294.95	293.51	0.0	-2.68	14.6	67.62	33.64	32.32	0.85411	64.84	False	76.8	Failed
01-Sonnenstand	Singapur Altitude	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	41.95	0.94	0.8	0.06	0.16	2.46	89.22	0.0	0.14	0.45	99.97	0.4	0.97	0.11072	23.69	False	99.37	Gold
01-Sonnenstand	Singapur Azimuth	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	175.74	17.6	45.99	-4.09	1001.25	289.16	359.68	0.0	-2.27	8.9	85.86	31.64	20.41	0.79245	88.5	False	84.12	Bronze
01-Sonnenstand	Lima Altitude	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	41.85	0.73	0.71	-0.14	0.09	2.4	89.67	0.0	-0.34	0.34	99.98	0.31	0.78	0.12047	24.07	False	99.37	Gold
01-Sonnenstand	Lima Azimuth	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	175.23	18.83	33.71	-4.93	1151.1	358.9	359.99	0.0	-2.74	9.45	88.47	33.93	18.81	0.84516	104.31	False	87.11	Bronze
01-Sonnenstand	Denver Altitude	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	28.72	1.73	0.82	0.23	0.24	2.1	69.48	0.0	0.82	0.7	99.92	0.49	1.98	0.1189	17.13	False	98.69	Gold
01-Sonnenstand	Denver Azimuth	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	174.79	19.02	57.95	-5.64	1178.16	295.51	293.36	0.0	-3.13	14.88	66.25	34.32	33.06	0.86461	64.8	False	76.64	Failed
01-Sonnenstand	Barrow Altitude	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	13.52	4.91	37.74	0.26	0.42	18.0	37.9	0.0	1.96	1.16	99.65	0.65	4.81	0.16941	10.96	False	93.85	Silver
01-Sonnenstand	Barrow Azimuth	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	162.24	39.7	40.61	-18.0	5120.59	359.45	338.2	0.0	-9.99	19.93	19.05	71.56	70.39	1.48239	85.26	False	53.89	Failed
01-Sonnenstand	Melbourne Altitude	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	33.47	2.0	1.76	-0.51	0.46	2.7	75.65	0.0	-1.5	0.89	99.88	0.68	2.04	0.14846	19.88	False	98.23	Gold
01-Sonnenstand	Melbourne Azimuth	TAS	TAS	9.5.0	Deg	Rainer Strobel, PGMM	0	173.64	22.08	0.6	-6.24	1578.2	344.17	359.9	0.0	-3.47	11.08	89.23	39.73	17.29	0.96872	125.44	False	87.8	Bronze
01-Sonnenstand	Potsdam Altitude	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	22.51	2.95	1.16	0.51	0.42	1.1	57.02	0.5	2.32	1.14	99.8	0.65	3.24	0.08157	14.5	False	97.71	Gold
