Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90847	-39.65	35.48	-52.94	55.74	-54.77	332.95	-76.15	114.57	-57.42	124.45	-48.32	46.03	-25.6	7.61	-40.19	148.77
90848	-39.56	35.78	-52.76	56.03	-54.86	333.35	-75.92	114.16	-57.22	124.18	-48.18	46.34	-25.59	7.89	-40.08	148.47
90849	-39.47	36.08	-52.58	56.31	-54.95	333.76	-75.69	113.76	-57.02	123.92	-48.04	46.65	-25.58	8.16	-39.98	148.18
90850	-39.38	36.38	-52.41	56.59	-55.03	334.17	-75.46	113.38	-56.82	123.66	-47.9	46.95	-25.57	8.44	-39.87	147.88
90851	-39.29	36.68	-52.23	56.88	-55.12	334.57	-75.23	113	-56.61	123.4	-47.76	47.26	-25.56	8.71	-39.77	147.59
90852	-39.2	36.97	-52.05	57.15	-55.2	334.98	-75	112.64	-56.41	123.14	-47.61	47.56	-25.54	8.99	-39.66	147.3
90853	-39.11	37.27	-51.87	57.43	-55.28	335.4	-74.77	112.3	-56.2	122.89	-47.47	47.86	-25.53	9.26	-39.56	147.01
90854	-39.01	37.57	-51.69	57.71	-55.36	335.81	-74.54	111.96	-56	122.64	-47.33	48.16	-25.52	9.54	-39.45	146.72
90855	-38.92	37.86	-51.5	57.98	-55.44	336.22	-74.31	111.63	-55.79	122.4	-47.18	48.46	-25.5	9.81	-39.34	146.43
90856	-38.82	38.16	-51.32	58.25	-55.51	336.64	-74.08	111.31	-55.59	122.15	-47.04	48.76	-25.49	10.09	-39.23	146.14
90857	-38.73	38.45	-51.14	58.52	-55.59	337.06	-73.84	111	-55.38	121.91	-46.9	49.05	-25.47	10.36	-39.12	145.86
90858	-38.63	38.75	-50.96	58.79	-55.66	337.48	-73.61	110.7	-55.17	121.67	-46.75	49.34	-25.46	10.63	-39.01	145.57
90859	-38.54	39.04	-50.77	59.05	-55.74	337.9	-73.37	110.41	-54.96	121.44	-46.6	49.64	-25.44	10.91	-38.9	145.29
90860	-38.44	39.33	-50.59	59.31	-55.81	338.32	-73.14	110.13	-54.75	121.21	-46.46	49.93	-25.43	11.18	-38.78	145
