Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
427035	23.55785304	202.2409563	41.45795561	212.2657544	35.28607636	154.0827594	75.52315275	206.9869441	69.87458848	268.7114684	34.3126105	207.3816377	6.939853837	180.898942	59.48163355	324.5387282	
427036	23.4995351	202.5003857	41.34308037	212.5542391	35.36977884	154.3649821	75.40783886	207.8482812	69.63010574	268.6739141	34.22357899	207.6575756	6.938182359	181.1455185	59.36643536	324.1136057	
427037	23.44057927	202.759528	41.22729952	212.8415699	35.45262287	154.6478765	75.2892309	208.695814	69.38562677	268.6365988	34.13372893	207.932832	6.936165981	181.3920913	59.25005062	323.6911785	
427038	23.38098747	203.0183809	41.1106196	213.1277465	35.53460438	154.931439	75.16740792	209.5294988	69.14115165	268.599513	34.04306443	208.2074043	6.933804742	181.6386596	59.13249319	323.2714428	
427039	23.32076161	203.2769424	40.99304713	213.4127684	35.61571935	155.2156656	75.04244851	210.3493169	68.89668045	268.5626478	33.95158959	208.4812899	6.931098688	181.8852228	59.01377686	322.854394	
427040	23.25990365	203.5352102	40.87458863	213.6966356	35.69596374	155.5005525	74.91443063	211.1552734	68.65221325	268.5259945	33.85930853	208.7544864	6.928047872	182.1317801	58.89391534	322.4400267	
427041	23.19841552	203.7931825	40.75525059	213.979348	35.77533356	155.7860955	74.7834315	211.9473954	68.40775014	268.4895449	33.76622537	209.0269913	6.924652358	182.378331	58.77292225	322.0283348	
427042	23.13629921	204.0508571	40.63503949	214.2609059	35.85382481	156.0722906	74.64952748	212.7257306	68.1632912	268.4532913	33.67234425	209.2988025	6.920912211	182.6248747	58.65081116	321.6193114	
427043	23.07355668	204.308232	40.5139618	214.5413097	35.93143355	156.3591334	74.51279394	213.4903459	67.91883649	268.417226	33.57766933	209.5699177	6.916827509	182.8714106	58.52759553	321.2129491	
427044	23.01018993	204.5653053	40.39202397	214.8205598	36.00815584	156.6466195	74.37330519	214.2413254	67.6743861	268.381342	33.48220474	209.840335	6.912398334	183.1179381	58.40328875	320.8092396	
427045	22.94620098	204.8220751	40.26923243	215.098657	36.08398775	156.9347444	74.23113437	214.9787698	67.4299401	268.3456323	33.38595465	210.1100523	6.907624777	183.3644564	58.2779041	320.4081742	
427046	22.88159182	205.0785395	40.1455936	215.3756022	36.15892539	157.2235035	74.0863534	215.702794	67.18549856	268.3100902	33.28892322	210.3790679	6.902506935	183.6109649	58.1514548	320.0097436	
427047	22.81636451	205.3346966	40.02111387	215.6513963	36.23296491	157.5128919	73.93903289	216.4135266	66.94106157	268.2747096	33.19111464	210.64738	6.897044914	183.8574629	58.02395393	319.6139376	
427048	22.75052107	205.5905447	39.89579963	215.9260406	36.30610246	157.8029049	73.78924212	217.111108	66.69662919	268.2394842	33.09253306	210.9149869	6.891238824	184.1039498	57.89541452	319.2207458	
427049	22.68406357	205.8460819	39.76965722	216.1995363	36.37833421	158.0935373	73.63704895	217.7956895	66.4522015	268.2044082	32.99318269	211.1818871	6.885088786	184.350425	57.76584947	318.8301571	
427050	22.61699407	206.1013065	39.64269299	216.4718849	36.4496564	158.3847842	73.48251981	218.4674319	66.20777857	268.169476	32.89306769	211.4480791	6.878594927	184.5968876	57.63527157	318.4421599	
427051	22.54931465	206.3562169	39.51491324	216.7430881	36.52006525	158.6766402	73.3257197	219.1265046	65.96336048	268.1346821	32.79219226	211.7135615	6.87175738	184.8433372	57.50369355	318.0567421	
427052	22.48102739	206.6108113	39.38632426	217.0131475	36.58955703	158.9691001	73.16671211	219.7730842	65.71894729	268.1000215	32.69056059	211.9783331	6.864576287	185.089773	57.37112798	317.6738913	
427053	22.4121344	206.8650882	39.25693232	217.2820652	36.65812804	159.2621583	73.00555902	220.4073539	65.47453907	268.0654891	32.58817688	212.2423927	6.857051797	185.3361944	57.23758736	317.2935944	
427054	22.34263779	207.119046	39.12674366	217.549843	36.72577461	159.5558092	72.84232092	221.0295023	65.23013591	268.03108	32.48504533	212.5057392	6.849184064	185.5826007	57.10308406	316.915838	
427055	22.27253968	207.3726831	38.9957645	217.8164832	36.7924931	159.8500472	72.6770568	221.6397226	64.98573787	267.9967897	32.38117011	212.7683716	6.840973252	185.8289912	56.96763036	316.5406083	
427056	22.2018422	207.6259981	38.86400103	218.0819879	36.85827991	160.1448665	72.50982411	222.2382118	64.74134502	267.9626136	32.27655545	213.030289	6.832419531	186.0753654	56.83123841	316.1678912	
427057	22.13054749	207.8789893	38.7314594	218.3463597	36.92313145	160.440261	72.34067883	222.82517	64.49695743	267.9285474	32.17120553	213.2914906	6.823523079	186.3217226	56.69392026	315.797672	
427058	22.05865771	208.1316555	38.59814577	218.6096011	36.98704418	160.7362248	72.1696754	223.4007995	64.25257518	267.8945871	32.06512454	213.5519756	6.81428408	186.5680621	56.55568783	315.4299359	
427059	21.986175	208.3839952	38.46406624	218.8717146	37.0500146	161.0327517	71.99686682	223.9653045	64.00819833	267.8607285	31.9583167	213.8117435	6.804702726	186.8143833	56.41655294	315.0646677	
427060	21.91310155	208.636007	38.32922689	219.1327031	37.11203923	161.3298353	71.8223046	224.51889	63.76382695	267.8269678	31.85078618	214.0707936	6.794779216	187.0606855	56.2765273	314.7018518	
427061	21.83943954	208.8876897	38.19363378	219.3925694	37.17311464	161.6274693	71.64603881	225.061762	63.51946112	267.7933012	31.74253719	214.3291255	6.784513757	187.3069682	56.13562247	314.3414724	
427062	21.76519114	209.1390419	38.05729293	219.6513165	37.23323744	161.9256471	71.4681181	225.5941263	63.2751009	267.7597251	31.63357392	214.5867389	6.77390656	187.5532306	55.99384994	313.9835135	
427063	21.69035856	209.3900624	37.92021033	219.9089475	37.29240425	162.2243622	71.28858972	226.1161883	63.03074637	267.7262361	31.52390054	214.8436333	6.762957848	187.7994721	55.85122104	313.6279587	
427064	21.614944	209.64075	37.78239196	220.1654656	37.35061176	162.5236077	71.10749953	226.6281528	62.78639759	267.6928307	31.41352125	215.0998086	6.751667847	188.045692	55.70774702	313.2747914	
427065	21.53894968	209.8911035	37.64384375	220.420874	37.40785668	162.8233769	70.92489204	227.1302235	62.54205463	267.6595056	31.30244022	215.3552647	6.740036793	188.2918899	55.56343897	312.9239948	
427066	21.46237781	210.1411217	37.5045716	220.6751762	37.46413577	163.1236627	70.74081045	227.6226024	62.29771756	267.6262577	31.19066163	215.6100014	6.728064927	188.538065	55.41830791	312.575552	
427067	21.38523063	210.3908036	37.36458138	220.9283756	37.51944584	163.424458	70.55529667	228.1054899	62.05338646	267.593084	31.07818966	215.8640189	6.715752498	188.7842166	55.27236469	312.2294458	
427068	21.30751037	210.6401481	37.22387894	221.1804758	37.57378371	163.7257557	70.36839133	228.5790844	61.80906139	267.5599813	30.96502846	216.1173171	6.703099763	189.0303443	55.12562009	311.8856588	
427069	21.22921927	210.8891541	37.08247008	221.4314804	37.62714627	164.0275484	70.18013384	229.0435821	61.56474241	267.5269469	30.85118219	216.3698963	6.690106983	189.2764472	54.97808474	311.5441734	
427070	21.1503596	211.1378207	36.94036059	221.6813933	37.67953046	164.3298288	69.9905624	229.4991767	61.32042961	267.493978	30.73665502	216.6217567	6.676774431	189.522525	54.82976916	311.204972	
427071	21.07093359	211.3861468	36.79755621	221.9302183	37.73093323	164.6325892	69.79971404	229.9460591	61.07612305	267.4610718	30.62145109	216.8728986	6.663102382	189.7685768	54.68068375	310.8680369	
427072	20.99094353	211.6341317	36.65406264	222.1779592	37.78135161	164.9358221	69.60762465	230.3844179	60.8318228	267.4282256	30.50557453	217.1233225	6.649091121	190.0146021	54.5308388	310.53335	
427073	20.91039167	211.8817743	36.50988557	222.4246201	37.83078265	165.2395197	69.414329	230.8144383	60.58752893	267.395437	30.38902948	217.3730287	6.63474094	190.2606003	54.38024447	310.2008933	
427074	20.8292803	212.1290739	36.36503065	222.670205	37.87922347	165.5436742	69.2198608	231.2363028	60.34324151	267.3627035	30.27182007	217.6220179	6.620052137	190.5065708	54.22891082	309.8706488	
427075	20.7476117	212.3760296	36.21950348	222.9147181	37.92667123	165.8482777	69.0242527	231.6501907	60.09896061	267.3300225	30.15395042	217.8702905	6.605025017	190.7525129	54.07684777	309.5425981	
427076	20.66538816	212.6226407	36.07330964	223.1581636	37.97312311	166.153322	68.82753633	232.056278	59.8546863	267.2973919	30.03542462	218.1178474	6.589659892	190.9984261	53.92406514	309.216723	
427077	20.58261198	212.8689063	35.92645467	223.4005458	38.01857639	166.458799	68.62974233	232.4547378	59.61041864	267.2648092	29.9162468	218.3646893	6.573957081	191.2443098	53.77057263	308.8930051	
427078	20.49928545	213.1148258	35.77894409	223.6418691	38.06302835	166.7647006	68.4309004	232.8457396	59.36615772	267.2322724	29.79642102	218.6108169	6.557916911	191.4901633	53.61637983	308.571426	
427079	20.41541088	213.3603985	35.63078336	223.8821378	38.10647635	167.0710182	68.23103927	233.2294496	59.12190359	267.1997791	29.67595139	218.8562311	6.541539715	191.7359861	53.4614962	308.2519673	
